Date,Price,Open,High,Low,Vol.,Change %
"Jan 03, 2021",40151.9,32192.9,41921.7,28204.5,1.57M,24.72%
"Dec 27, 2020",32193.3,26460.3,33233.5,25858.2,962.22K,21.69%
"Dec 20, 2020",26454.4,23843.6,26826,22015.5,805.84K,10.95%
"Dec 13, 2020",23844,18808.1,24107.1,18716.8,1.01M,26.77%
"Dec 06, 2020",18808.9,19146,19424.6,17600.1,642.93K,-1.76%
"Nov 29, 2020",19146.5,17729.7,19897.4,17530.4,883.70K,7.99%
"Nov 22, 2020",17730.7,18394.6,19486.7,16235.2,1.15M,-5.12%
"Nov 15, 2020",18687.2,16074.7,18966,15782.3,985.86K,16.28%
"Nov 08, 2020",16071,14826.6,16474.1,14720.7,849.61K,8.38%
"Nov 01, 2020",14828.4,13795.5,15955.2,13214.2,969.23K,7.47%
"Oct 25, 2020",13797.3,13117,14065.4,12792.4,737.16K,5.18%
"Oct 18, 2020",13117.2,11362.1,13213.5,11349.8,649.57K,15.45%
"Oct 11, 2020",11362.1,11295.6,11715.9,11224.6,458.66K,0.56%
"Oct 04, 2020",11298.4,10544.4,11475,10520.8,415.50K,7.15%
"Sep 27, 2020",10544.2,10727.9,10946.6,10387.6,473.68K,-1.71%
"Sep 20, 2020",10727.9,11081.6,11081.6,10146.6,521.93K,-3.19%
"Sep 13, 2020",11081.8,10441.7,11177.1,10219.4,552.84K,6.13%
"Sep 06, 2020",10441.9,10092.2,10480.3,9877.1,24.92M,3.47%
"Aug 30, 2020",10092.2,11468.1,12045.9,9897.8,56.56M,-12.00%
"Aug 23, 2020",11468.1,11661.1,11824.6,11131,3.40M,-1.66%
"Aug 16, 2020",11661.3,11845.5,12444.1,11382.1,3.65M,-1.55%
"Aug 09, 2020",11845.3,11764.4,12041.1,11146.7,3.46M,0.69%
"Aug 02, 2020",11764.3,11802.6,12061.1,10730.7,3.74M,-0.33%
"Jul 26, 2020",11803.1,10961.1,11847.7,10771.8,4.12M,21.63%
